company_name,detail
Auro Impex & Chemicals Limited,NSE_SME name-matched 'Auro Impex  & Chemicals Limited' (symbol AUROIMPEX) but dates disagree: db='2023-05-15' vs nse_sme='23-May-23'
De Neers Tools Limited,NSE_SME name-matched 'De Neers Tools Limited' (symbol DENEERS) but dates disagree: db='2023-05-15' vs nse_sme='11-May-23'
Quicktouch Technologies Limited,NSE_SME name-matched 'Quicktouch Technologies Limited' (symbol QUICKTOUCH) but dates disagree: db='2023-05-15' vs nse_sme='02-May-23'
AG Universal Limited,NSE_SME name-matched 'A G Universal Limited' (symbol AGUL) but dates disagree: db='2023-04-15' vs nse_sme='24-Apr-23'
Pattech Fitwell Tube Components Limited,NSE_SME name-matched 'Pattech Fitwell Tube Components Limited' (symbol PATTECH) but dates disagree: db='2023-04-15' vs nse_sme='21-Apr-23'
Nirman Agri Genetics Limited,NSE_SME name-matched 'Nirman Agri Genetics Limited' (symbol NIRMAN) but dates disagree: db='2023-03-15' vs nse_sme='28-Mar-23'
Quality Foils India Limited,NSE_SME name-matched 'Quality Foils (India) Limited' (symbol QFIL) but dates disagree: db='2023-03-15' vs nse_sme='24-Mar-23'
VELS Film International Limited,NSE_SME name-matched 'Vels Film International Limited' (symbol VELS) but dates disagree: db='2023-03-15' vs nse_sme='22-Mar-23'
MCON Rasayan India Limited,NSE_SME name-matched 'Mcon Rasayan India Limited' (symbol MCON) but dates disagree: db='2023-03-15' vs nse_sme='20-Mar-23'
Srivasavi Adhesive Tapes Limited,NSE_SME name-matched 'Srivasavi Adhesive Tapes Limited' (symbol SRIVASAVI) but dates disagree: db='2023-03-15' vs nse_sme='09-Mar-23'
Viaz Tyres Limited,NSE_SME name-matched 'Viaz Tyres Limited' (symbol VIAZ) but dates disagree: db='2023-03-15' vs nse_sme='01-Mar-23'
Agarwal Float Glass India Limited,NSE_SME name-matched 'Agarwal Float Glass India Limited' (symbol AGARWALFT) but dates disagree: db='2023-02-15' vs nse_sme='23-Feb-23'
Lead Reclaim and Rubber Products Limited,NSE_SME name-matched 'Lead Reclaim And Rubber Products Limited' (symbol LRRPL) but dates disagree: db='2023-02-15' vs nse_sme='21-Feb-23'
Gayatri Rubbers and Chemicals Limited,NSE_SME name-matched 'Gayatri Rubbers And Chemicals Limited' (symbol GRCL) but dates disagree: db='2023-02-15' vs nse_sme='07-Feb-23'
Aristo Bio-Tech and Lifescience Limited,NSE_SME name-matched 'Aristo Bio-Tech And Lifescience Limited' (symbol ARISTO) but dates disagree: db='2023-01-15' vs nse_sme='30-Jan-23'
Ducol Organics And Colours Limited,NSE_SME name-matched 'Ducol Organics And Colours Limited' (symbol DUCOL) but dates disagree: db='2023-01-15' vs nse_sme='19-Jan-23'
Anlon Technology Solutions Limited,NSE_SME name-matched 'Anlon Technology Solutions Limited' (symbol ANLON) but dates disagree: db='2023-01-15' vs nse_sme='10-Jan-23'
RBM Infracon Limited,NSE_SME name-matched 'Rbm Infracon Limited' (symbol RBMINFRA) but dates disagree: db='2023-01-15' vs nse_sme='04-Jan-23'
Homesfy Realty Limited,NSE_SME name-matched 'Homesfy Realty Limited' (symbol HOMESFY) but dates disagree: db='2023-01-15' vs nse_sme='02-Jan-23'
Moxsh Overseas Educon Limited,NSE_SME name-matched 'Moxsh Overseas Educon Limited' (symbol MOXSH) but dates disagree: db='2022-12-15' vs nse_sme='30-Dec-22'
Arihant Academy Limited,NSE_SME name-matched 'Arihant Academy Limited' (symbol ARIHANTACA) but dates disagree: db='2022-12-15' vs nse_sme='29-Dec-22'
Uma Converter Limited,NSE_SME name-matched 'Uma Converter Limited' (symbol UMA) but dates disagree: db='2022-12-15' vs nse_sme='29-Dec-22'
Dollex Agrotech Limited,NSE_SME name-matched 'Dollex Agrotech Limited' (symbol DOLLEX) but dates disagree: db='2022-12-15' vs nse_sme='28-Dec-22'
All E Technologies Limited,NSE_SME name-matched 'All E Technologies Limited' (symbol ALLETEC) but dates disagree: db='2022-12-15' vs nse_sme='21-Dec-22'
Pritika Engineering Components Limited,NSE_SME name-matched 'Pritika Engineering Components Limited' (symbol PRITIKA) but dates disagree: db='2022-12-15' vs nse_sme='08-Dec-22'
Integrated Personnel Services Limited,NSE_SME name-matched 'Integrated Personnel Services Limited' (symbol IPSL) but dates disagree: db='2022-11-15' vs nse_sme='11-Nov-22'
Rite Zone Chemcon India Limited,NSE_SME name-matched 'Rite Zone Chemcon India Limited' (symbol RITEZONE) but dates disagree: db='2022-11-15' vs nse_sme='11-Nov-22'
Phantom Digital Effects Limited,NSE_SME name-matched 'Phantom Digital Effects Limited' (symbol PHANTOMFX) but dates disagree: db='2022-10-15' vs nse_sme='21-Oct-22'
Lloyds Luxuries Limited,NSE_SME name-matched 'Lloyds Luxuries Limited' (symbol LLOYDS) but dates disagree: db='2022-10-15' vs nse_sme='11-Oct-22'
Cyber Media Research & Services Limited,NSE_SME name-matched 'Cyber Media Research & Services Limited' (symbol CMRSL) but dates disagree: db='2022-10-15' vs nse_sme='10-Oct-22'
Maks Energy Solutions India Limited,NSE_SME name-matched 'Maks Energy Solutions India Limited' (symbol MAKS) but dates disagree: db='2022-09-15' vs nse_sme='28-Sep-22'
Kandarp Digi Smart BPO Limited,NSE_SME name-matched 'Kandarp Digi Smart BPO Limited' (symbol KANDARP) but dates disagree: db='2022-09-15' vs nse_sme='28-Sep-22'
Ishan International Limited,NSE_SME name-matched 'Ishan International Limited' (symbol ISHAN) but dates disagree: db='2022-09-15' vs nse_sme='22-Sep-22'
Tapi Fruit Processing Limited,NSE_SME name-matched 'Tapi Fruit Processing Limited' (symbol TAPIFRUIT) but dates disagree: db='2022-09-15' vs nse_sme='22-Sep-22'
Sabar Flex India Limited,NSE_SME name-matched 'Sabar Flex India Limited' (symbol SABAR) but dates disagree: db='2022-09-15' vs nse_sme='21-Sep-22'
Mega Flex Plastics Limited,NSE_SME name-matched 'Mega Flex Plastics Limited' (symbol MEGAFLEX) but dates disagree: db='2022-09-15' vs nse_sme='19-Sep-22'
JFL Life Sciences Limited,NSE_SME name-matched 'Jfl Life Sciences Limited' (symbol JFLLIFE) but dates disagree: db='2022-09-15' vs nse_sme='08-Sep-22'
Jay Jalaram Technologies Limited,NSE_SME name-matched 'Jay Jalaram Technologies Limited' (symbol KORE) but dates disagree: db='2022-09-15' vs nse_sme='08-Sep-22'
Ameya Precision Engineers Limited,NSE_SME name-matched 'Ameya Precision Engineers Limited' (symbol AMEYA) but dates disagree: db='2022-09-15' vs nse_sme='08-Sep-22'
Veekayem Fashion and Apparels Limited,NSE_SME name-matched 'Veekayem Fashion and Apparels Limited' (symbol VEEKAYEM) but dates disagree: db='2022-08-15' vs nse_sme='22-Aug-22'
Upsurge Seeds of Agriculture Limited,NSE_SME name-matched 'Upsurge Seeds Of Agriculture Limited' (symbol USASEEDS) but dates disagree: db='2022-08-15' vs nse_sme='11-Aug-22'
Agni Green Power Limited,NSE_SME name-matched 'Agni Green Power Limited' (symbol AGNI) but dates disagree: db='2022-08-15' vs nse_sme='01-Aug-22'
KCK Industries Limited,NSE_SME name-matched 'Kck Industries Limited' (symbol KCK) but dates disagree: db='2022-07-15' vs nse_sme='08-Jul-22'
Rachana Infrastructure Limited,NSE_SME name-matched 'Rachana Infrastructure Limited' (symbol RILINFRA) but dates disagree: db='2022-06-15' vs nse_sme='10-Jun-22'
Fidel Softech Limited,NSE_SME name-matched 'Fidel Softech Limited' (symbol FIDEL) but dates disagree: db='2022-06-15' vs nse_sme='10-Jun-22'
Globesecure Technologies Limited,NSE_SME name-matched 'Globesecure Technologies Limited' (symbol GSTL) but dates disagree: db='2022-06-15' vs nse_sme='02-Jun-22'
PE Analytics Limited,NSE_SME name-matched 'P. E. Analytics Limited' (symbol PROPEQUITY) but dates disagree: db='2022-04-15' vs nse_sme='04-Apr-22'
SP Refractories Limited,NSE_SME name-matched 'Sp Refractories Limited' (symbol SPRL) but dates disagree: db='2022-03-15' vs nse_sme='22-Mar-22'
Shigan Quantum Technologies Limited,NSE_SME name-matched 'Shigan Quantum Technologies Limited' (symbol SHIGAN) but dates disagree: db='2022-03-15' vs nse_sme='11-Mar-22'
Richa Info Systems Limited,NSE_SME name-matched 'Richa Info Systems Limited' (symbol RICHA) but dates disagree: db='2022-02-15' vs nse_sme='21-Feb-22'
Precision Metaliks Limited,NSE_SME name-matched 'Precision Metaliks Limited' (symbol PRECISION) but dates disagree: db='2022-02-15' vs nse_sme='01-Feb-22'
Foce India Limited,NSE_SME name-matched 'Foce India Limited' (symbol FOCE) but dates disagree: db='2021-12-15' vs nse_sme='28-Dec-21'
DK Enterprises Global Limited,NSE_SME name-matched 'D.K. Enterprises Global Limited' (symbol DKEGL) but dates disagree: db='2021-10-15' vs nse_sme='22-Oct-21'
Jainam Ferro Alloys (I) Limited,NSE_SME name-matched 'Jainam Ferro Alloys (I) Limited' (symbol JAINAM) but dates disagree: db='2021-10-15' vs nse_sme='08-Oct-21'
Quadpro ITeS Limited,NSE_SME name-matched 'Quadpro Ites Limited' (symbol QUADPRO) but dates disagree: db='2021-09-15' vs nse_sme='30-Sep-21'
Abhishek Integrations Limited,NSE_SME name-matched 'Abhishek Integrations Limited' (symbol AILIMITED) but dates disagree: db='2021-06-15' vs nse_sme='21-Jun-21'
Siddhika Coatings Limited,NSE_SME name-matched 'Siddhika Coatings Limited' (symbol SIDDHIKA) but dates disagree: db='2021-04-15' vs nse_sme='07-Apr-21'
Party Cruisers Limited,NSE_SME name-matched 'Party Cruisers Limited' (symbol PARTYCRUS) but dates disagree: db='2021-03-15' vs nse_sme='05-Mar-21'
Ascom Leasing & Investments Ltd,NSE_SME name-matched 'Ascom Leasing & Investments Limited' (symbol ASCOM) but dates disagree: db='2019-12-15' vs nse_sme='06-Dec-19'
