company_name,suggested_source,suggested_name,suggested_code,similarity
Ksolves India Limited,BSE_MAIN,Ksolves India Limited,543599,1.00
Laxmi Goldorna House Limited,NSE,Laxmi Goldorna House Limited,LGHL,1.00
RO Jewels Ltd,BSE_MAIN,RO Jewels Limited,543171,1.00
RO Jewels Ltd,BSE_MAIN,RO Jewels Ltd,543171,1.00
Janus Corporation Ltd,BSE_MAIN,Sanblue Corporation Limited,521222,0.83
Janus Corporation Ltd,BSE_MAIN,Sanblue Corporation Ltd,521222,0.83
HindPrakash Industries Ltd,NSE,Hindprakash Industries Limited,HPIL,1.00
HindPrakash Industries Ltd,BSE_MAIN,HINDPRAKASH INDUSTRIES LIMITED,543645,1.00
Vaxtex Cotfab Limited,NSE,Vaxtex Cotfab Limited,VCL,1.00
DC Infotech and Communication Limited,NSE,Dc Infotech And Communication Limited,DCI,1.00
DC Infotech and Communication Limited,BSE_MAIN,Dc Infotech and Communication Limited,543636,1.00
Mangalam Global Enterprise Limited,NSE,Mangalam Global Enterprise Limited,MGEL,1.00
Mangalam Global Enterprise Limited,BSE_MAIN,MANGALAM GLOBAL ENTERPRISE LIMITED,544273,1.00
Jinkusal Industries Limited,NSE,Jinkushal Industries Limited,JKIPL,0.97
Jinkusal Industries Limited,BSE_MAIN,Jinkushal Industries Limited,544547,0.97
