company_name,db_listing_date,db_category,match_source,nse_symbol,bse_script_code,matched_name,corroborated_by
Aaradhya Disposal Industries Limited,2025-08-11,SME,NSE_SME,AARADHYA,,Aaradhya Disposal Industries Limited,listing_date
Bhadora Industries Limited,2025-08-11,SME,NSE_SME,BHADORA,,Bhadora Industries Limited,listing_date
Parth Electricals & Engineering Limited,2025-08-11,SME,NSE_SME,PARTH,,Parth Electricals & Engineering Limited,listing_date
Jyoti Global Plast Limited,2025-08-11,SME,NSE_SME,JYOTIGLOBL,,Jyoti Global Plast Limited,listing_date
Flysbs Aviation Limited,2025-08-08,SME,NSE_SME,FLYSBS,,FlySBS Aviation Limited,listing_date
Renol Polychem Limited,2025-08-07,SME,NSE_SME,RNPL,,Renol Polychem Limited,listing_date
Cash Ur Drive Marketing Limited,2025-08-07,SME,NSE_SME,CUDML,,Cash Ur Drive Marketing Limited,listing_date
Kaytex Fabrics Limited,2025-08-05,SME,NSE_SME,KAYTEX,,Kaytex Fabrics Limited,listing_date
Sellowrap Industries Limited,2025-08-01,SME,NSE_SME,SELLOWRAP,,Sellowrap Industries Limited,listing_date
TSC India Limited,2025-07-30,SME,NSE_SME,TSC,,TSC India Limited,listing_date
Savy Infra & Logistics Limited,2025-07-28,SME,NSE_SME,SAVY,,Savy Infra and Logistics Limited,listing_date
Spunweb Nonwoven Limited,2025-07-21,SME,NSE_SME,SPUNWEB,,Spunweb Nonwoven Limited,listing_date
Smarten Power Systems Limited,2025-07-14,SME,NSE_SME,SMARTEN,,Smarten Power Systems Limited,listing_date
Happy Square Outsourcing Services Limited,2025-07-10,SME,NSE_SME,WHITEFORCE,,Happy Square Outsourcing Services Limited,listing_date
Silky Overseas Limited,2025-07-07,SME,NSE_SME,SILKY,,Silky Overseas Limited,listing_date
Pushpa Jewellers Limited,2025-07-07,SME,NSE_SME,PUSHPA,,Pushpa Jewellers Limited,listing_date
Cedaar Textile Limited,2025-07-07,SME,NSE_SME,CEDAAR,,Cedaar Textile Limited,listing_date
Pro Fx Tech Limited,2025-07-03,SME,NSE_SME,PROFX,,Pro FX Tech Limited,listing_date
Moving Media Entertainment Limited,2025-07-03,SME,NSE_SME,MMEL,,Moving Media Entertainment Limited,listing_date
Suntech Infra Solutions Limited,2025-07-02,SME,NSE_SME,SUNTECH,,Suntech Infra Solutions Limited,listing_date
Rama Telecom Limited,2025-07-02,SME,NSE_SME,RTL,,Rama Telecom Limited,listing_date
Mayasheel Ventures Limited,2025-06-27,SME,NSE_SME,MAYASHEEL,,Mayasheel Ventures Limited,listing_date
Safe Enterprises Retail Fixtures Limited,2025-06-27,SME,NSE_SME,SAFEENTP,,Safe Enterprises Retail Fixtures Limited,listing_date
Aakaar Medical Technologies Limited,2025-06-27,SME,NSE_SME,AAKAAR,,Aakaar Medical Technologies Limited,listing_date
Influx Healthtech Limited,2025-06-25,SME,NSE_SME,INFLUX,,Influx Healthtech Limited,listing_date
Eppeltone Engineers Limited,2025-06-24,SME,NSE_SME,EEPL,,Eppeltone Engineers Limited,listing_date
Samay Project Services Limited,2025-06-23,SME,NSE_SME,SAMAY,,Samay Project Services Limited,listing_date
Patil Automation Limited,2025-06-23,SME,NSE_SME,PATILAUTOM,,Patil Automation Limited,listing_date
Monolithisch India Limited,2025-06-19,SME,NSE_SME,MONOLITH,,Monolithisch India Limited,listing_date
Jainik Power Cables Limited,2025-06-17,SME,NSE_SME,JAINIK,,Jainik Power Cables Limited,listing_date
Sacheerome Limited,2025-06-16,SME,NSE_SME,SACHEEROME,,Sacheerome Limited,listing_date
Ganga Bath Fittings Limited,2025-06-11,SME,NSE_SME,GANGABATH,,Ganga Bath Fittings Limited,listing_date
NR Vandana Tex Industries Limited,2025-06-04,SME,NSE_SME,NRVANDANA,,N R Vandana Tex Industries Limited,listing_date
Neptune Petrochemicals Limited,2025-06-04,SME,NSE_SME,NEPTUNE,,Neptune Petrochemicals Limited,listing_date
Blue Water Logistics Limited,2025-06-03,SME,NSE_SME,BLUEWATER,,Blue Water Logistics Limited,listing_date
Dar Credit & Capital Limited,2025-05-28,SME,NSE_SME,DCCL,,Dar Credit & Capital Limited,listing_date
Accretion Pharmaceuticals Limited,2025-05-21,SME,NSE_SME,ACCPL,,Accretion Pharmaceuticals Limited,listing_date
Integrity Infrabuild Developers Limited,2025-05-20,SME,NSE_SME,INTEGRITY,,Integrity Infrabuild Developers Limited,listing_date
Virtual Galaxy Infotech Limited,2025-05-19,SME,NSE_SME,VGINFOTECH,,Virtual Galaxy Infotech Limited,listing_date
Arunaya Organics Limited,2025-05-07,SME,NSE_SME,ARUNAYA,,Arunaya Organics Limited,listing_date
Iware Supplychain Services Limited,2025-05-06,SME,NSE_SME,IWARE,,Iware Supplychain Services Limited,listing_date
Tankup Engineers Limited,2025-04-30,SME,NSE_SME,TANKUP,,Tankup Engineers Limited,listing_date
Shri Ahimsa Naturals Limited,2025-04-02,SME,NSE_SME,SHRIAHIMSA,,Shri Ahimsa Naturals Limited,listing_date
ATC Energies System Limited,2025-04-02,SME,NSE_SME,ATCENERGY,,ATC Energies System Limited,listing_date
Active Infrastructures Limited,2025-03-28,SME,NSE_SME,ACTIVEINFR,,Active Infrastructures Limited,listing_date
Rapid Fleet Management Services Limited,2025-03-28,SME,NSE_SME,RAPIDFLEET,,Rapid Fleet Management Services Limited,listing_date
Grand Continent Hotels Limited,2025-03-27,SME,NSE_SME,GCHOTELS,,Grand Continent Hotels Limited,listing_date
Divine Hira Jewellers Limited,2025-03-24,SME,NSE_SME,DIVINEHIRA,,Divine Hira Jewellers Limited,listing_date
Balaji Phosphates Limited,2025-03-07,SME,NSE_SME,BALAJIPHOS,,Balaji Phosphates Limited,listing_date
HP Telecom India Limited,2025-02-28,SME,NSE_SME,HPTL,,HP Telecom India Limited,listing_date
Tejas Cargo India Limited,2025-02-24,SME,NSE_SME,TEJASCARGO,,Tejas Cargo India Limited,listing_date
Royal Arc Electrodes Limited,2025-02-24,SME,NSE_SME,ROYALARC,,Royal Arc Electrodes Limited,listing_date
Maxvolt Energy Industries Limited,2025-02-19,SME,NSE_SME,MAXVOLT,,Maxvolt Energy Industries Limited,listing_date
PS Raj Steels Limited,2025-02-19,SME,NSE_SME,PSRAJ,,P S Raj Steels Limited,listing_date
Voler Car Limited,2025-02-19,SME,NSE_SME,VOLERCAR,,Voler Car Limited,listing_date
Chandan Healthcare Limited,2025-02-17,SME,NSE_SME,CHANDAN,,Chandan Healthcare Limited,listing_date
Eleganz Interiors Limited,2025-02-14,SME,NSE_SME,ELGNZ,,Eleganz Interiors Limited,listing_date
Readymix Construction Machinery Limited,2025-02-13,SME,NSE_SME,READYMIX,,Readymix Construction Machinery Limited,listing_date
Ken Enterprises Limited,2025-02-12,SME,NSE_SME,KEN,,Ken Enterprises Limited,listing_date
Chamunda Electrical Limited,2025-02-11,SME,NSE_SME,CHAMUNDA,,Chamunda Electrical Limited,listing_date
Rexpro Enterprises Limited,2025-01-29,SME,NSE_SME,REXPRO,,Rexpro Enterprises Limited,listing_date
Ema Partners India Limited,2025-01-24,SME,NSE_SME,EMAPARTNER,,EMA Partners India Limited,listing_date
Kabra Jewels Limited,2025-01-22,SME,NSE_SME,KKJEWELS,,Kabra Jewels Limited,listing_date
Barflex Polyfilms Limited,2025-01-20,SME,NSE_SME,BARFLEX,,Barflex Polyfilms Limited,listing_date
Delta Autocorp Limited,2025-01-14,SME,NSE_SME,DELTIC,,Delta Autocorp Limited,listing_date
Anya Polytech & Fertilizers Limited,2025-01-02,SME,NSE_SME,ANYA,,Anya Polytech & Fertilizers Limited,listing_date
Newmalayalam Steel Limited,2024-12-27,SME,NSE_SME,NMSTEEL,,Newmalayalam Steel Limited,listing_date
